,particle,turning_point,v_e (px/frame),v_g (px/frame),v_e (m/s),v_g (m/s),radius,charge,plate err,voltage err,v_e prop,v_g prop,v_e err,v_g err,ep,charge err,quantization
31,1613.0,249,0.5469670563960001,-0.2521272554216868,7.55396006849853e-05,3.482036435950659e-05,5.822958251160936e-07,1.5653222970037273e-19,1.771608194478747e-23,1.7392469966708085e-23,2.11344034175431e-22,3.721059998802885e-21,2.976080611146209e-06,1.371839542487439e-06,0.03665078633322669,3.721142818041514e-21,0.9769973345596281
32,1651.0,251,1.0645561355142859,-0.11247805885258964,0.00014702191739547756,1.5533929424435867e-05,3.889266336281185e-07,1.406311425722911e-19,1.5916420858303706e-23,1.562568250803235e-23,1.6160184055234146e-22,1.8378841941989023e-21,2.7365042629173485e-06,2.891314767408519e-07,0.011728068632891326,1.8380195335449862e-21,0.8777505547081355
33,1843.0,251,0.654658039673387,-0.20167169167729082,9.041240477623865e-05,2.7852132739304456e-05,5.207823402668611e-07,1.4674781213631208e-19,1.6608696304918168e-23,1.6305312459590235e-23,8.456279117209983e-22,1.26476624906839e-20,1.2749280875317453e-05,3.927499375211178e-06,0.14026987501386595,1.264768390616479e-20,0.9159278033927638
34,1941.0,250,0.5278309474937499,-0.230702840172,7.289678333751088e-05,3.1861517471113836e-05,5.570064815174216e-07,1.409273167391159e-19,1.5949941404324426e-23,1.565859074879066e-23,1.5575488879228168e-22,2.7642306547001686e-21,2.351462825768411e-06,1.02777064330824e-06,0.02883833005517827,2.7643210205182686e-21,0.8795991284626085
35,2124.0,250,0.48414900261847393,-0.28455811226799993,6.686403121023665e-05,3.929927025958839e-05,6.186133154205865e-07,1.617560771073791e-19,1.8307309124689902e-23,1.797289745637546e-23,8.915786966817747e-23,1.755626850581379e-21,1.2109353511705445e-06,7.117260920585221e-07,0.010913050595086305,1.75581429003544e-21,1.0096020256354576
36,2142.0,252,0.6741762639818181,-0.17187724019841272,9.31079946716407e-05,2.3737331050565894e-05,4.807762039310242e-07,1.3157128315905603e-19,1.489103961841235e-23,1.4619031462117342e-23,7.6298999264663465e-22,1.0985823312868731e-20,1.2492078267399735e-05,3.184781268124179e-06,0.13338687503579696,1.0985843131990913e-20,0.8212033598259141
37,2311.0,255,1.6770541725,-0.3428735453254902,0.0002316117598607624,4.7352999410957106e-05,6.790484578900218e-07,4.740837430696361e-19,5.365608384286144e-23,5.267597145218181e-23,6.336428178762316e-22,5.37415626665915e-21,4.711993003666952e-06,9.633664631761879e-07,0.01431783935093014,5.374682252168364e-21,2.9589979918109037
38,2312.0,255,0.7122597729745763,-0.1150054560392157,9.836756748933744e-05,1.5882978918400023e-05,3.932719761403844e-07,1.0023906630869188e-19,1.1344906516651644e-23,1.11376740342991e-23,1.2151789165210254e-22,1.6760802007826671e-21,2.443521069705327e-06,3.945446108647835e-07,0.02020318903050676,1.6761555996214766e-21,0.6256430435431573
39,2322.0,252,0.7875962738888889,-0.15688915901984124,0.00010877201347840453,2.166738249694819e-05,4.593357478633089e-07,1.3888581600677336e-19,1.5718887426918276e-23,1.5431757334085934e-23,2.3158241183220945e-22,3.0111427949873537e-21,3.7380224785662323e-06,7.446139887937734e-07,0.031178621075992057,3.011223365072842e-21,0.8668570830843624
40,2325.0,253,0.7882116969464285,-0.13941700448616598,0.00010885700728465896,1.9254367743780623e-05,4.3300374432880533e-07,1.26802458670528e-19,1.4351311246940294e-23,1.4089162074503113e-23,1.1973706145865197e-22,1.5540940677206337e-21,2.06558674332098e-06,3.6535605520165067e-07,0.01229499468663592,1.554224191018443e-21,0.7914386984319451
41,2334.0,248,1.16108495875,-0.24899481491935482,0.0001603531567755294,3.43877545671093e-05,5.786672846799343e-07,2.7417138373943195e-19,3.103030417787489e-23,3.046348708215911e-23,5.536399999860717e-22,5.806316431090759e-21,5.797822927247204e-06,1.2433438533725295e-06,0.03314221409914,5.806479260427708e-21,1.7112431838394246
42,2353.0,241,0.8763164634736841,-0.16572388512448133,0.00012102483129542404,2.288751390029647e-05,4.720916633071889e-07,1.58474268161931e-19,1.7935878932224196e-23,1.7608252017992335e-23,2.0480316024420292e-22,2.5029888140236486e-21,3.0577753621865132e-06,5.782687350763034e-07,0.020723475154167424,2.503115009227445e-21,0.9891185852706577
